Metric,Top Tranche,Benchmark
Annualized Return,0.1597078408881054,0.07387427032576999
Annualized Volatility,0.22471639452126632,0.2617851285921815
Sharpe (rf=0),0.7107084519949934,0.282194296991003
Max Drawdown,-0.5714533950072408,-0.7176410730828624
